index,batch,document,client,priority,date,status
3,BATCH 2963147,3,164_comp_scherpenheuvel,4,11/22/2022 1:45:31 PM,Ready
5,gem_waregem-05- BATCH 6495091,21,cs_besturen_01_team3,5,11/21/2022 6:03:43 PM,Ready
10,gem_opwijk-MULTI- BATCH 4462708,2,cs_besturen_schaubroeck,5,11/22/2022 11:50:52 AM,Ready
11,BATCH 2207558,1,578_gem_zelzate,5,11/22/2022 11:50:53 AM,Ready
12,BATCH 2207565,1,578_gem_zelzate,5,11/22/2022 11:50:56 AM,Ready
13,BATCH 2207596,1,578_gem_zelzate,5,11/22/2022 11:51:04 AM,Ready
14,stad_tongeren-MULTI- BATCH 45107 11/22/2022 9:51:05 AM,4,cs_besturen_schaubroeck,5,11/22/2022 11:51:05 AM,Ready
15,ocmw_puurs_sint_amands-MULTI- BA,5,cs_besturen_schaubroeck,5,11/22/2022 11:51:09 AM,Ready
16,BATCH 2207638,1,578_gem_zelzate,5,11/22/2022 11:52:45 AM,Ready
17,BATCH 2207640,1,578_gem_zelzate,5,11/22/2022 11:52:50 AM,Ready
18,BATCH 2207642,1,578_gem_zelzate,5,11/22/2022 11:52:56 AM,Ready
19,BATCH 2207652,1,578_gem_zelzate,5,11/22/2022 11:53:15 AM,Ready
20,BATCH 2207654,1,578_gem_zelzate,5,11/22/2022 11:53:18 AM,Ready
21,BATCH 2207656,1,578_gem_zelzate,5,11/22/2022 11:53:22 AM,Ready
22,BATCH 2207658,1,578_gem_zelzate,5,11/22/2022 11:53:24 AM,Ready
23,BATCH 2207660,1,578_gem_zelzate,5,11/22/2022 11:53:27 AM,Ready
24,BATCH 2207662,1,578_gem_zelzate,5,11/22/2022 11:53:30 AM,Ready
25,BATCH 2207731,1,578_gem_zelzate,5,11/22/2022 11:53:42 AM,Ready
26,BATCH 2207733,1,578_gem_zelzate,5,11/22/2022 11:53:45 AM,Ready
27,BATCH 2207735,1,578_gem_zelzate,5,11/22/2022 11:53:48 AM,Ready
28,ocmw_bekkevoort-MULTI- BATCH 756,1,cs_besturen_schaubroeck,5,11/22/2022 11:54:16 AM,Ready
29,gem_wuustwezel-05- BATCH 6499766,1,cs_besturen_01_team3,5,11/22/2022 11:54:20 AM,Ready
30,gem_gavere-MULTI- BATCH 6112552,9,cs_besturen_schaubroeck,5,11/22/2022 11:55:33 AM,Ready
31,gem_herenthout-MULTI- BATCH 6112 11/22/2022 9:56:17 AM,1,cs_besturen_schaubroeck,5,11/22/2022 11:56:17 AM,Ready
32,gem_waasmunster-MULTI- BATCH 437 11/22/2022 9:56:18 AM,2,cs_besturen_schaubroeck,5,11/22/2022 11:56:18 AM,Ready
34,gem_kapellen-03- BATCH 11042208,9,cs_besturen_01_team3,5,11/22/2022 11:58:30 AM,Ready
35,gem_stkatwaver-04- BATCH 9477184,3,cs_besturen_01_team3,5,11/22/2022 11:58:46 AM,Ready
36,ocmw_schilde-04- BATCH 9477191,1,cs_besturen_01_team3,5,11/22/2022 11:58:49 AM,Ready
37,stad_borgloon-MULTI- BATCH 75619,1,cs_besturen_schaubroeck,5,11/22/2022 11:59:58 AM,Ready
38,BATCH 2991105,1,494_stad_halle,5,11/22/2022 12:01:09 PM,Ready
39,BATCH 2991107,1,494_stad_halle,5,11/22/2022 12:01:15 PM,Ready
40,BATCH 5873540,1,281_comp_ninove,5,11/22/2022 12:01:32 PM,Ready
41,gem_malle-03- BATCH 11042261,1,cs_besturen_01_team3,5,11/22/2022 12:03:05 PM,Ready
42,stad_landen-03- BATCH 11042263,1,cs_besturen_01_team3,5,11/22/2022 12:03:06 PM,Ready
43,gem_lint-03- BATCH 11042265,2,cs_besturen_01_team3,5,11/22/2022 12:03:08 PM,Ready
44,ocmw_lint-03- BATCH 11042267,4,cs_besturen_01_team3,5,11/22/2022 12:03:11 PM,Ready
45,stad_hasselt-02- BATCH 8996206,3,cs_besturen_01_team3,5,11/22/2022 12:04:17 PM,Ready
46,gem_hechteleksel-02- BATCH 89962,1,cs_besturen_01_team3,5,11/22/2022 12:04:34 PM,Ready
47,stad_sinttruiden-04- BATCH 94772,3,cs_besturen_01_team3,5,11/22/2022 12:04:36 PM,Ready
48,pol_grens-04- BATCH 9477233,1,cs_besturen_01_team3,5,11/22/2022 12:04:38 PM,Ready
49,pol_turnhout-04- BATCH 9477235,2,cs_besturen_01_team3,5,11/22/2022 12:04:40 PM,Ready
50,pol_mechelen-04- BATCH 9477237,2,cs_besturen_01_team3,5,11/22/2022 12:04:42 PM,Ready
51,zorg_ternethe-04- BATCH 9477239,1,cs_besturen_01_team3,5,11/22/2022 12:04:45 PM,Ready
52,BATCH 2208378,1,578_gem_zelzate,5,11/22/2022 12:05:42 PM,Ready
53,gem_grimbergen-MULTI- BATCH 6112 11/22/2022 10:06:11 AM,3,cs_besturen_schaubroeck,5,11/22/2022 12:06:11 PM,Ready
54,BATCH 2239380,1,543_gem_lochristi,5,11/22/2022 12:06:14 PM,Ready
